"RV_dow","RV_snp","RV_nik","RV_hsg","RV_jkse"
0.0190053231518917,0.0217716515944895,0.011347433543258,0.0380728905418789,0.0216880112198445
0.00564560271485047,0.00945760711589742,0.0115428637348425,0.00431359893285453,0.00924076286849779
0.0053599564920683,0.00999909411636174,0.0123263114710348,0.0156351399181358,0.0216276025448087
0.0144818978908274,0.0170869369152706,0.00320689474341212,0.025743366093968,0.00730760752012146
0.00534493318867561,0.00545432588961757,0.00502608483901633,0.00465793086727397,0.023900110313784
0.0131998298366454,0.0136994769805133,0.00549224852500084,0.0176507699491109,0.00749459916254091
0.0156682088465933,0.0136251824453471,0.00877924619424297,0.017869877733121,0.0148144475948313
0.0147311447470233,0.00925731258052762,0.00732137608203467,0.018165800250718,0.0121334011066165
0.0127131910258919,0.0111654057535067,0.00593013633153086,0.0158905297142617,0.0225931246428863
0.0182120531318906,0.0171245929507799,0.00512466205998444,0.0198781557342931,0.0154735409884337
0.0227914863893601,0.0226885195355738,0.0141717329957679,0.0232557214383297,0.00557139078261473
0.0130089615795428,0.0106580204055195,0.00540928958419601,0.0108645661136483,0.00884476673002677
0.0129318338418229,0.00838159506970033,0.0116994009123383,0.0142921650205617,0.0109721463904196
0.0072278562951436,0.00808571004808334,0.011410132283226,0.0203059902948928,0.00749035388204594
0.0286296962380935,0.0299982209173999,0.00959878272431344,0.0326977377921552,0.0189174914888329
0.0097209942343651,0.0130357299751478,0.0266913318948258,0.0139068922514624,0.00415921561208318
0.0136134584026975,0.015814019267063,0.00708326679225592,0.0103711408949636,0.0118791070071148
0.0129363983688043,0.012868615144346,0.0115586966674193,0.0152334359981422,0.00238906002653436
0.0134032286957215,0.0161876245105406,0.0204931598954913,0.0220544900536728,0.013312659522072
0.0100474059188373,0.0100531826978961,0.0124422699282915,0.0209312550542301,0.0234131536115925
0.0105427873714362,0.012747340264801,0.0113705898053343,0.0148607246541343,0.014698638063859
0.00814789750219037,0.0143352996641135,0.00806103908027785,0.0170790823775482,0.0204719520700976
0.0067007347691991,0.0063039570139267,0.0102463084396722,0.00672846149910525,0.0166557374083541
0.0127339942230195,0.0094422819668792,0.00913427724566918,0.0165414410514079,0.0127149550901467
0.0098952261157716,0.00943589060094662,0.0125978481812951,0.0132460578024531,0.00548829445651018
0.00787064755261666,0.00705542447398086,0.00720149745931177,0.0105846021993057,0.0133827649675248
0.00715138802325321,0.0103740573470482,0.00845028674030109,0.00850325881712202,0.00705725841368367
0.00305919675984208,0.00351708485873647,0.00770594401156181,0.00681070138908259,0.00655212337959181
0.00825996874870657,0.00776087637864184,0.011063830702556,0.0142824403350844,0.00733403230421303
0.00835359694648622,0.0114879411984633,0.00884831357933724,0.0122106598703615,0.00739282669103353
0.00259180051671229,0.00375453412970556,0.0148033654581724,0.00836798985789551,0.00468347121912864
0.00751587397983652,0.0084015177617596,0.0118245878380767,0.0126867971783141,0.0161984864547971
0.00524632852925038,0.00605552736947907,0.00712354751183578,0.0138300405272347,0.00562605323132281
0.0020954828561632,0.00278691771215394,0.0121727257139388,0.00917196959906669,0.0191449611176576
0.0065912032600655,0.00512221771824587,0.00980889148857133,0.0109078893131975,0.0119421203634246
0.00340270876154442,0.00601599092965787,0.00668338001400665,0.00521205298645126,0.00777550945148876
0.00613750715505815,0.00579612111261883,0.00983077591340229,0.0147184455135854,0.0266613170378493
0.00655904767590465,0.00619917077013618,0.015113404690426,0.032940509664511,0.0205758095464644
0.0131619875351107,0.0124669321915905,0.00896425365640445,0.0085917247706953,0.0102608605234731
0.00619157814518689,0.00842018561524099,0.00754628245173959,0.0169100120765525,0.0114043021616268
0.0177080308575474,0.0202434445548314,0.00667840302406108,0.0174258827409896,0.00612486052899009
0.0119112885523775,0.0174246035353202,0.017969336597332,0.0229538690859025,0.00917783907044003
0.0105950495635813,0.0133518666910266,0.00986712866486106,0.00697492831028091,0.00778278286351463
0.0090920673040459,0.00930961940357336,0.0095637190485034,0.0119110538951437,0.00573624366880167
0.00681517917705821,0.00830550945519306,0.0170276352364291,0.0152531938135531,0.0109444084382563
0.0102017205442258,0.014617263539514,0.0112568714158422,0.0113920923275476,0.0104251924156742
0.00596494182773907,0.0109216687328544,0.00815101987470386,0.0141182237143503,0.00710247168980943
0.0133759492377865,0.0101176254242538,0.0123442469073094,0.0202042534942897,0.0069586402390873
0.0174437112816416,0.0196306565146017,0.00983598382321145,0.0140836040116189,0.0113758663797077
0.0144909066046872,0.00979372508509362,0.0162660473332826,0.0173312725869864,0.0113583233281151
0.0150797672479283,0.0189496080803788,0.0144861630937395,0.0118357729187756,0.00427803230653924
0.00614086086998238,0.0071898500714169,0.00856788008134987,0.00770104057762194,0
0.0170738217714931,0.0281192807774173,0.000869009485699145,0.0226086208889765,0.01381404958848
0.00393431628388927,0.00621069259790688,0.0137668360470084,0.0119155303851727,0.0099219139421079
0.00815437088927596,0.00606951251777497,0.00402031377028168,0.0110303518903691,0.00896009569146256
0.00521433620948526,0.00633170852162282,0.00691428624576816,0.00217754387253964,0.00425501202630382
0.00939279773229308,0.0091921880663786,0.00870468189546511,0.0105483665411774,0.0144930862832266
